,id,district,sq_mt_built,n_rooms,n_bathrooms,buy_price,buy_price_by_area
273,21469,San Andrés,65.0,2,1,232000,3569
274,21468,San Andrés,69.0,2,1,240000,3478
275,21467,Los Rosales,115.0,4,2,330000,2870
276,21466,San Andrés,60.0,3,1,120000,2000
277,21465,San Andrés,90.0,3,2,172000,1911
278,21464,Villaverde,60.0,3,1,82260,1371
279,21463,Los Ángeles,65.0,2,1,109000,1677
280,21462,Los Ángeles,115.0,4,1,133000,1157
281,21461,San Cristóbal,83.0,3,2,111000,1337
282,21460,San Andrés,55.0,2,1,110000,2000
283,21459,Villaverde,80.0,2,2,179990,2250
284,21458,San Andrés,68.0,3,1,156000,2294
285,21457,San Andrés,89.0,2,2,228000,2562
286,21456,San Cristóbal,61.0,3,1,89000,1459
287,21455,Los Ángeles,67.0,3,1,119000,1776
288,21454,San Cristóbal,68.0,3,1,94000,1382
289,21453,Villaverde,92.0,3,2,175000,1902
290,21452,Villaverde,70.0,3,1,90000,1286
291,21451,Los Rosales,63.0,3,1,167000,2651
292,21450,Villaverde,57.0,3,1,96000,1684
293,21449,San Andrés,63.0,3,1,84000,1333
294,21448,Los Ángeles,52.0,2,1,101000,1942
295,21447,Los Rosales,125.0,3,2,210000,1680
296,21446,Butarque,125.0,3,3,275000,2200
297,21445,Los Rosales,75.0,3,1,131400,1752
298,21444,San Andrés,71.0,3,1,131400,1851
299,21443,Villaverde,80.0,3,1,95000,1188
300,21442,Villaverde,66.0,3,1,93000,1409
301,21441,San Andrés,95.0,2,2,154500,1626
302,21440,Butarque,61.0,3,1,100000,1639
303,21439,San Cristóbal,42.0,4,1,95900,2283
304,21438,Villaverde,85.0,3,1,154900,1822
305,21437,Los Ángeles,80.0,2,1,115000,1438
306,21436,Los Rosales,55.0,2,1,96000,1745
308,21434,San Cristóbal,60.0,2,1,95000,1583
309,21433,Villaverde,55.0,3,1,78000,1418
310,21432,Villaverde,93.0,3,1,128500,1382
311,21431,Villaverde,55.0,2,1,95000,1727
312,21430,San Cristóbal,82.0,3,1,83900,1023
313,21429,Los Rosales,53.0,2,1,96000,1811
314,21428,San Andrés,69.0,2,1,118600,1719
